,stage,k_01,k_02,k_03,k_04,k_05,k_06,k_07,k_08,k_09,k_10
0,0.0,5.0,12.266439931635201,1.52662337798175,23.208471698147353,1.5036320343621459,5.292614350961086,5.217694751133641,1.7089616762277635,8.087477552909602,1.7040237396131201
1,0.1111111111111111,5.0,4.435305116739675,5.065419791542706,1.396751747849475,0.5091674071409447,0.7883672908644431,2.1378999698784216,2.425705139876844,1.2862188136842982,3.02201638370124
2,0.2222222222222222,5.0,3.921360588369935,0.6216318463202739,6.000308153334711,1.6198314510448137,1.5708461216642768,2.2634656467176284,10.127906798465565,1.9318961586612513,0.8590854305621991
3,0.3333333333333333,5.0,0.9008576538880895,5.713812555257737,0.4017655525539337,2.6440629867643173,1.064205508413735,0.9355845408583884,3.746947294861258,2.915782095510379,7.770143071371462
4,0.4444444444444444,5.0,0.7304157125124096,42.25551685687314,5.505204783156725,0.24951981862031863,40.341536868649136,1.7395789005125024,3.046464115206536,17.08637581928098,14.572391240050598
5,0.5555555555555556,5.0,0.9857888269272177,5.543464941910576,3.5952862916996535,1.0357901245900256,3.065710564963671,5.133454112854029,2.3211492646911807,3.110580594151773,3.627892302254243
6,0.6666666666666666,5.0,4.929945202789498,5.236919828221924,0.8520451364360552,8.221425657657049,1.356664974634787,1.207532399382479,12.401026397770272,3.0225050796938406,3.5977108714235824
7,0.7777777777777777,5.0,1.2623692626033296,6.455784672935383,1.8438605086432793,0.6595876115826657,4.980533969401349,1.4017613467933678,1.4645769881912787,1.8364337190016375,2.7107797171488497
8,0.8888888888888888,5.0,5.797019776053497,8.544283157912007,1.1907862790707076,0.2470795374439472,2.0654021482819154,1.180137074884439,2.830725669455784,3.4532845069221083,2.9084376971432406
9,1.0,5.0,4.118447426157719,1.432923602264535,3.015040337286072,16.301383582528576,1.4445664083693475,1.8996937968210192,1.243276601706514,5.50971174252177,1.0771924793058483
